ru,fog,packet_id,created_at_us,fronthaul_latency_us,end_to_end_latency_us
RU:3,Fog:3,61,878.3999999999991,132.20000000000005,204.4000000000002
RU:0,Fog:0,62,892.799999999999,132.20000000000005,204.4000000000001
RU:1,Fog:1,62,892.799999999999,132.20000000000005,204.4000000000001
RU:2,Fog:2,62,892.799999999999,132.20000000000005,204.4000000000001
RU:3,Fog:3,62,892.799999999999,132.20000000000005,204.4000000000001
RU:0,Fog:0,63,907.199999999999,132.20000000000016,204.4000000000002
RU:1,Fog:1,63,907.199999999999,132.20000000000016,204.4000000000002
RU:2,Fog:2,63,907.199999999999,132.20000000000016,204.4000000000002
RU:3,Fog:3,63,907.199999999999,132.20000000000016,204.4000000000002
RU:0,Fog:0,64,921.599999999999,132.20000000000005,204.4000000000001
RU:1,Fog:1,64,921.599999999999,132.20000000000005,204.4000000000001
RU:2,Fog:2,64,921.599999999999,132.20000000000005,204.4000000000001
RU:3,Fog:3,64,921.599999999999,132.20000000000005,204.4000000000001
RU:0,Fog:0,65,935.999999999999,132.19999999999993,204.39999999999998
RU:1,Fog:1,65,935.999999999999,132.19999999999993,204.39999999999998
RU:2,Fog:2,65,935.999999999999,132.19999999999993,204.39999999999998
RU:3,Fog:3,65,935.999999999999,132.19999999999993,204.39999999999998
RU:0,Fog:0,66,950.399999999999,132.20000000000005,204.4000000000001
RU:1,Fog:1,66,950.399999999999,132.20000000000005,204.4000000000001
RU:2,Fog:2,66,950.399999999999,132.20000000000005,204.4000000000001
RU:3,Fog:3,66,950.399999999999,132.20000000000005,204.4000000000001
RU:0,Fog:0,67,964.7999999999989,132.20000000000016,204.4000000000002
RU:1,Fog:1,67,964.7999999999989,132.20000000000016,204.4000000000002
RU:2,Fog:2,67,964.7999999999989,132.20000000000016,204.4000000000002
RU:3,Fog:3,67,964.7999999999989,132.20000000000016,204.4000000000002
RU:0,Fog:0,68,979.1999999999989,132.20000000000005,204.4000000000001
RU:1,Fog:1,68,979.1999999999989,132.20000000000005,204.4000000000001
RU:2,Fog:2,68,979.1999999999989,132.20000000000005,204.4000000000001
RU:3,Fog:3,68,979.1999999999989,132.20000000000005,204.4000000000001
RU:0,Fog:0,69,993.5999999999989,132.19999999999993,204.39999999999998
RU:1,Fog:1,69,993.5999999999989,132.19999999999993,204.39999999999998
RU:2,Fog:2,69,993.5999999999989,132.19999999999993,204.39999999999998
RU:3,Fog:3,69,993.5999999999989,132.19999999999993,204.39999999999998
RU:0,Fog:0,70,1007.9999999999989,132.20000000000005,204.4000000000001
RU:1,Fog:1,70,1007.9999999999989,132.20000000000005,204.4000000000001
RU:2,Fog:2,70,1007.9999999999989,132.20000000000005,204.4000000000001
RU:3,Fog:3,70,1007.9999999999989,132.20000000000005,204.4000000000001
RU:0,Fog:0,71,1022.3999999999988,132.19999999999993,204.39999999999998
RU:1,Fog:1,71,1022.3999999999988,132.19999999999993,204.39999999999998
RU:2,Fog:2,71,1022.3999999999988,132.19999999999993,204.39999999999998
RU:3,Fog:3,71,1022.3999999999988,132.19999999999993,204.39999999999998
RU:0,Fog:0,72,1036.7999999999988,132.20000000000005,204.4000000000001
RU:1,Fog:1,72,1036.7999999999988,132.20000000000005,204.4000000000001
RU:2,Fog:2,72,1036.7999999999988,132.20000000000005,204.4000000000001
RU:3,Fog:3,72,1036.7999999999988,132.20000000000005,204.4000000000001
RU:0,Fog:0,73,1051.199999999999,132.20000000000005,204.4000000000001
RU:1,Fog:1,73,1051.199999999999,132.20000000000005,204.4000000000001
RU:2,Fog:2,73,1051.199999999999,132.20000000000005,204.4000000000001
RU:3,Fog:3,73,1051.199999999999,132.20000000000005,204.4000000000001
RU:0,Fog:0,74,1065.599999999999,132.20000000000005,204.4000000000001
RU:1,Fog:1,74,1065.599999999999,132.20000000000005,204.4000000000001
RU:2,Fog:2,74,1065.599999999999,132.20000000000005,204.4000000000001
RU:3,Fog:3,74,1065.599999999999,132.20000000000005,204.4000000000001
RU:0,Fog:0,75,1079.999999999999,132.20000000000005,204.4000000000001
RU:1,Fog:1,75,1079.999999999999,132.20000000000005,204.4000000000001
RU:2,Fog:2,75,1079.999999999999,132.20000000000005,204.4000000000001
RU:3,Fog:3,75,1079.999999999999,132.20000000000005,204.4000000000001
RU:0,Fog:0,76,1094.3999999999992,132.20000000000005,204.4000000000001
RU:1,Fog:1,76,1094.3999999999992,132.20000000000005,204.4000000000001
RU:2,Fog:2,76,1094.3999999999992,132.20000000000005,204.4000000000001
RU:3,Fog:3,76,1094.3999999999992,132.20000000000005,204.4000000000001
RU:0,Fog:0,77,1108.7999999999993,132.20000000000005,204.4000000000001
RU:1,Fog:1,77,1108.7999999999993,132.20000000000005,204.4000000000001
RU:2,Fog:2,77,1108.7999999999993,132.20000000000005,204.4000000000001
RU:3,Fog:3,77,1108.7999999999993,132.20000000000005,204.4000000000001
RU:0,Fog:0,78,1123.1999999999994,132.20000000000005,204.4000000000001
RU:1,Fog:1,78,1123.1999999999994,132.20000000000005,204.4000000000001
RU:2,Fog:2,78,1123.1999999999994,132.20000000000005,204.4000000000001
RU:3,Fog:3,78,1123.1999999999994,132.20000000000005,204.4000000000001
RU:0,Fog:0,79,1137.5999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,79,1137.5999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,79,1137.5999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,79,1137.5999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,80,1151.9999999999995,132.20000000000005,204.4000000000001
RU:1,Fog:1,80,1151.9999999999995,132.20000000000005,204.4000000000001
RU:2,Fog:2,80,1151.9999999999995,132.20000000000005,204.4000000000001
RU:3,Fog:3,80,1151.9999999999995,132.20000000000005,204.4000000000001
RU:0,Fog:0,81,1166.3999999999996,132.20000000000005,204.4000000000001
RU:1,Fog:1,81,1166.3999999999996,132.20000000000005,204.4000000000001
RU:2,Fog:2,81,1166.3999999999996,132.20000000000005,204.4000000000001
RU:3,Fog:3,81,1166.3999999999996,132.20000000000005,204.4000000000001
RU:0,Fog:0,82,1180.7999999999997,132.20000000000005,204.4000000000001
RU:1,Fog:1,82,1180.7999999999997,132.20000000000005,204.4000000000001
